id,cor_sentence
grm2208160092669,혹시 받을 수 있나요?
grm2208080042020,아직도 이해가 가지 않는 부분이 있어서 재질문 드립니다.
grm2208160092766,도움을 요청하는 주제의 글에서 도움을 받아들인다는 내용이 조금 어색하게 느껴져서요.
grm2207050000446,"지수, 로그 함수 대비 비교 문제 어렵다."
grm2210130105829,너 전화 영어 해볼 생각 없어?
grm2210040108721,중간고사 내일 끝나는데 유종의 미 거두겠습니다!
grm2208170085243,늦은 시간에 감사합니다.
grm2207220036809,제가 시험이 끝나 번아웃이 온 것 같아요.
grm2206280010436,시간이 오래 걸릴 문제는 무조건 나중에 풀어 주셔야 합니다.
grm2206230018230,오답노트가 더 빛을 발할 수도 있을 것 같아요!
grm2209230115209,선생님 제 플래너 보시면 꽤 실망하실 듯한데요.
grm2209090091180,남은 기간 무엇을 해야 할까요?
grm2210140114423,나 이만큼 했다 보여주기 같고 치이며 살기 참 그지 같아서 또 걱정할 날 올 것 같아서 접은 거예요.
grm2208040059781,내가 갈 길을 아직 분명하게 내다볼 수는 없으나 머지않아 찾아낼 수 있기를 바랄 뿐이다.
grm2210120117168,스트레스 잘 극복하신 거 같아 보여서 좋아요!
grm2210110100878,돈은 어딜 가두 빠지질 않아.
grm2207130028643,제 고등학교 동아리 선배랍니다!
grm2209190101563,왜 그러냐면 문화적 특성상으로 정치적인 이슈나 그런 걸 넣으면 정부에 걸려서 그게 조금 완화된 지 얼마 안 됐거든.
grm2209210114718,개인적으로 철학 지문보단 이런 게 읽는 재미가 있는 것 같음.
grm2207110023963,궁금한 점이 있는데 앉아 있을 때는 얼마나 앉아 있었나요?
grm2209190107906,사진 올리실 때는 보정하지 마시고 조금 흐리더라도 그대로 올리세요.
grm2206160081190,"이런 부분에서 어떻게 생각하고, 공부해야 전 저런 일을 겪지 않을 수 있을까요."
grm2207120032897,당연히 우리 학생분도 매우 아낍니다!
grm2207210009793,알앤비를 좋아하는데 감성이나 무드 있게 잔잔하면서 좋더라고요.
grm2209160099593,사실 거기가 무슨 말인지 모르겠어. 오.
grm2209050065213,음의 일을 하게 되면 일을 하는 주체의 에너지가 증가하는 건가요?
grm2208100078284,첨부한 사진의 제 풀이처럼 접근하면 오류가 생길 수 있나요.
grm2206200012441,"그치만 성실하게 해온 만큼, 생기부에서는 분명히 드러날 거예요."
grm2209090077699,생각했는데 어떻게 오로지 저거만 가능하다고...
grm2209280109562,나중에 고치면 되니 너무 염려할 필요는 없어요.
grm2206300001215,시간 체크는 미리 해놓은 거예요.
grm2208180070657,자기장의 방향이 오른쪽을 향하잖아요.
grm2209130113626,그냥 개념 부분도 생소하면 다시 공부해서 완벽히 이해하려 하고 문제도 스스로 쭉쭉 풀릴 때까지 풀었어요!
grm2207290019045,합격해도 납치 안 당하고 정시를 쓸 수 있나요?
grm2207110025937,질문이 꽤 있고 길게 써보고 싶다.
grm2206200038867,"삭막한 재수학원 시절의 한 줄기 빛이었던 마스터님, 정말 멋있습니다."
grm2207270020658,문학 익힘책은 그냥 알아서 푸는 건가요?
grm2208080083068,그리고 강은 언제부터 나오나요?
grm2209290106109,프로젝트 그렇게 열심히 못 했는데 그리고 그만한 능력이 안 된다.
grm2208100059504,수단은 영국과 이집트에 저항했다고...
grm2210110112213,"수시, 정시 병행 중인데 개학 후 시간 관리가 고민입니다."
grm2206270001852,요새 낮잠을 자주 자서 어떻게 해야 할지 고민 됐는데 도움 됐어요!
grm2207180032347,저는 재수험장에 학교 친구들이 너무 많아서 ...
grm2206290019578,바쁘실 텐데 몸 관리 잘 하시고 파이팅!!
grm2209280099227,전 차라리 그게 더 난 거 같아서 괜찮아요.
grm2209130105605,내 앞에 앉아 있던 여자가 제출한 핸드폰 진동 울려서 퇴실 당했어.
grm2208020093134,그리고 자문문이 선별되어 있는데 선별 기준은 무엇인가요?
grm2208100064797,"보기는 조선 후기에 대한 것인데 만약 선지에 조선 전기, 조선 후기 이렇게 시기가 나눠서 구성될 수도 있나요."
grm2209230109699,밴드에서 서로 응원해 주는 거 기억나네요.
grm2207270024487,아마 모르는 단어가 많아서 그럴 경우도 있어요.
grm2210140115281,월간지랑 사설 모의고사 중에서 고민해 봐야겠네요.
grm2207180036473,저는 선지를 먼저 읽진 않았어요.
grm2207270024418,저는 닮음으로 포물선의 접점 좌표 잡았다.
grm2209060088150,여기서 공식 조직인 친목 집단의 예로는 무엇이 있나요.
grm2210200105508,다른 회사들 막 컴퓨터 못 쓰게 하던데요.
grm2207070032383,아무 생각 없이 이건 당연히 발해지 하고 풀고 넘어갔는데.
grm2207210025494,제일 약한 영역으로 하셔도 되고요.
grm2209140101127,필리핀 세관 검사하는 사람들 괜히 트집 잡는다는 말 많이 들었는데 아침 일찍 검사해서 피곤했나 다 통과됨.
grm2208160060126,그리거나라 시대에는 수도가 어디인지도 알고 싶어요.
grm2209020077601,진동하는 경우에 연속인 경우가 구체적으로 어떤 예시가 있나요?
grm2209010057820,"있다면 중기 철기는 어느 시대고, 후기 철기는 어느 시대에요?"
grm2210040105871,한국인들이 좋아하는 운동 방식에 대해 이야기합니다.
grm2208190075096,놓고 푸는 건지 잘 이해가 되지 않습니다.
grm2208180043219,윤리적 덕목을 내세운 건 맞지만요.
grm2206270009026,인터넷에 공부 명언 검색도 해보고 열심히 찾아봤어요.
grm2208080054308,청의 문물 제도 수용과 청과 구분되는 조선의 독자성을 유지하는 것은 상충되지 않나요?
grm2209210101299,씨씨티비에서 차가 엄청 과속했대.
grm2210110110441,좀만 참고 버티면 갑자기 쉬워지는 순간이 올 거예요!
grm2207210015078,이것도 지금 눈치 보면서 보는데 자주 올려 주시면 좋겠습니다.
grm2207040034900,논술은 수리논술 문항이 포함되어 출제되는데요.
grm2207040022760,좋은 자소서 작성하시길 바랄게요.
grm2208110051141,부모보다 모의 유전자를 후세에 많이 전달하기 위한 전략이 아니다.
grm2209260113717,더 이상 같은 이야기 안 하겠습니다.
grm2206130062611,시기를 따로 구분해야 하는지 아니면 한 전체로 봐도 무방한지 궁금합니다.
grm2207200000769,일 클래스 배달 와서 올리려 했는데요.
grm2208160078551,아니면 처음부터 순서대로 쭉 수강하는 걸 추천하시나요?
grm2210180105735,팀으로만 지원 가능하다는 데 개인은 안 된다는 건가?
grm2208310056659,그럼 관직명 중에 양과 낙타가 나타내는 것이 무엇인지 잘 모르겠어요.
grm2209050044633,원래 인강 듣고 필기하는 것보단 자습서를 혼자 읽고 이해하는 식의 공부를 좋아했어요.
grm2207070011638,접수할 때쯤 되면 각 대학별로 변환 표준점수 표가 나오는데 자기 백분위에 해당하는 변환 표준점수가 자기 탐구 점수가 되는 겁니다.
grm2206270036924,그럼 어제보단 나아졌겠지 한다.
grm2207210020316,안 그래도 요즘 수면 시간 때문에 고민 많았는데 사용해 봐야겠어요.
grm2210110116055,얼른 오셔서 키트 받으셔야죠.
grm2208290080839,자국 문화가 대체되는 경우에만 동화인 것이 맞나요.
grm2209090045158,전건이 참인 동시에 거짓이고 후건은 거짓인 경우 조건문은 왜 참인 동시에 거짓이 되나요?
grm2210140114573,올해도 기대해 보자구요!
grm2208250042339,이 문장이 왜 관계 관형절이고 생략이 가능한지 자세히 설명 부탁드려용.
grm2209280109809,그건 인강을 보고 배우고 그래야 하기 때문이야.
grm2210070111745,저는 심심하면 혼자 카페 가곤 합니다.
grm2209290117733,시험 끝나면 망했는지 잘 봤는지 확실히 알 수 있다.
grm2208250065284,물체가 장애물에 의해 정지하잖아요?
grm2206230012539,현재로서 마지막 싸웠을 때는 정말 온갖 이야기를 했어요.
grm2210050108406,휴가 때 침대 밖으로 안 나왔습니다.
grm2206220023239,문 닫는 추가 합격자를 생각하면 그리 높지 않다는 의미예요!
grm2207260032242,집 가면 전화고 인터넷이고 뭐고 아예 손이 안 가고 공부만 하게 되더라고요.
grm2206150091702,그런데 뒤에는 또 상황으로 인해 개인이 실제로 성장했다는 듯이 말하는데...
grm2209150104444,달서구에 자리 비면 그쪽으로 옮기고 싶다.
grm2208100043469,"독서, 문학 인강이 한 파트에서 네 시간 되더라고요."
grm2207040035696,혹시 면접 때 독서 관련 질문이 많이 들어왔나요?
grm2208030073144,가에서 가속도 방향이 반대면 나보다 더 작은 눈금이 찍히나요?
grm2209010069959,아니면 공에 작용하는 힘을 의미하는 건가요?
grm2208170084893,해야 하는지 궁금합니다.
grm2206140074182,하는 내용이 이해가 잘 가지 않습니다.
grm2207070033265,앞으로도 휴식처를 만들어 주는 마스터가 되도록 노력하겠습니다.
grm2206160043066,에너지를 얻기 때문에 이동하게 된다고 생각을 했는데 이러한 순서가 맞는지 확인해 주세요.
grm2209080078639,계수가 같으면 된다고 하시는 것도 무슨 말인지 모르겠고요.
grm2206210030402,더 나은 칼럼을 준비하겠습니다.
grm2208160068021,하셨는데 지구가 밀리지 않는 이유가 무엇인가요.
grm2207260032880,저보다 훌륭하신 윤리의 신이 되시기를 진심으로 기원합니다!
ext0000000121361,국민도 언론도 이젠 좀 싸우지만 말고 잘 협조해서 국정을 이끌어 달라고 주문한다.
grm2209150099847,"대한민국 국민이 이 시기에 교회 맹신하면서 마스크도 안 끼고 노래 부르고 집회도 참석하고, 이게 맨정신 생각으로 가능한 일임?"
grm2209220112308,지금 다들 마스터님 글에만 있어서 여기 조용하다.
grm2207280025364,한 번 아침밥 드셔보시고 결정하셔도 괜찮을 것 같습니다.
grm2210210100059,그래도 이번에 국가 장학금이나 성적 장학금 기대해 볼 수 없나 해서 기웃거렸어.
grm2206170066053,길이 수축은 걸린 시간에 영향을 주지 않는다는 뜻인가요?
grm2209080064895,말이 어려워서 무슨 뜻인지 모르겠습니다.
grm2208300041767,수요일마다 업로드 된다고 하셨어요.
grm2209140106791,원인은 차량 절단 작업 중 불꽃이 바닥에 떨어지면서 폐유에 옮겨붙은 것으로 추정된다.
grm2207290030871,더 나은 모습을 위해 열심히 달려나가겠습니다!
grm2207180004060,오늘은 면접 때문에 힘들었으니 생물 노트 정리만 하고 놀아야지.
grm2207040009581,글씨 쓰기 어렵더라고요?
grm2209090068578,하셨는데 기체만 적용되는 거죠?
grm2209230107607,전 오히려 주변 사람들과의 관계는 괜찮은데 문제가 안 풀릴 때 오는 스트레스가 심한 것 같아요.
grm2209160115571,자투리 시간 잘 아끼시면 분명 낭비하는 시간이 많을 거예요!
grm2209050070860,"선생님, 제가 물리를 진짜 정말 죽어도 못 해요."
grm2207120004203,원하는 전공을 못하고 희망하지 않는 전공에 들어가야 될 수도 있나요?
grm2209290116276,세상은 우리가 지배한다는 이 말이야!
grm2208170067685,두 자석 사이의 공기의 질량도 생각해야 하는 것 아닌가요?
grm2207190036948,현재는 사범대학에 진학 목표를 두고 있어요.
grm2208050063050,매일 한국사 내용 처음부터 끝까지 자투리 시간을 이용해 공부하셨나요?
grm2207280032904,그리고 학생분도 항상 힘을 내시고요!
grm2209230104235,저희 인건비 처리 때문에 그러는데요.
grm2208250066693,둘 수 있는 이유가 무엇인지 궁금합니다.
grm2207110022306,누구보다 시간을 효율적으로 쓸 수도 있고요.
grm2206160081933,역할 행동에 대한 보상은 역할 행동을 잘 수행하여 받은 보상인데 그렇다면 역할 보상이라는 말도 있나요?
grm2207080025335,개념이 상세하고 예시가 많은 책으로 고르면 좋아요!
grm2207140026511,체대 말고 다른 학과는 아예 생각도 없어서 수시는 버렸어요.
grm2208080076241,여기서 꼭 식을 세워서 확인해야 하나요?
grm2209190104731,국어 매기고 영어 매기고 한국사 매겼어요.
grm2206230003140,연대 비롯한 상위권 대학들은 수능 등급 알 수 있을까요?
grm2207120022470,열심히 하고 있는 모습 그 자체도 응원할게요.
grm2210180115454,들락거리면서 놀 거면 여기 왜 있어?
grm2206140058225,선생님에게 왜 대지의 윤리인지 잘 모르겠어요.
grm2206300022058,오히려 연습 때 실컷 긴장해둬야 실전이 쉬워지더라고요!
grm2210060106138,님 어릴 때 인터넷 소설 좀 읽었어?
grm2209290116885,문제 풀 때 해당 강의 문제 전부 풀고 해설 들으셨나요?
grm2207150014155,세상에 제 심장 어디다 두어야 될지 몰라서요.
grm2207130023124,혹시 선배님은 반수하시면은 정시 전형으로 가신 건가요?
grm2210190112772,"학원은 도구일 뿐, 열심히만 하면 다 성공할 수 있습니다."
grm2209270105911,교수님들 얘기를 들어 보니 그게 전혀 아니더라.
grm2207110036669,모의고사를 죽어라 풀면서 익숙해지도록 만들었어요.
grm2206200001864,"이제 이 얘기는 여기서 스톱, 말이 너무 딴 데로 가잖아요."
grm2209010044771,행랑살이를 했던 석공이라 하면 석공이지 집에서 궂은일을 했다는 것이 되지 않나요?
grm2208090087643,두 가지 이론이 대략적으로 어떤 건지는 파악했어요.
grm2207060025346,친구가 자취하는데 너무 부러워요.
grm2206130073241,광원에서 빛이 나오는 시간이 동일한지 어떻게 확인하나요?
grm2210040104990,경기가 좋아지면 반드시 불경기에서 탈출할 수 있다.
grm2208020042913,요런 뉘앙스로 이해해 가지고 헷갈렸어요.
grm2207140004066,일요일에 처음 가보는데 잘 부탁드려요.
grm2208030087668,예를 들면 다른 단원에서는 문화를 이해하는 입장과 문화를 연구하는 태도는 다르니까 문제 발문에 주의해서 풀어라.
grm2206200010487,그런데 독보적이었는데 왜 해체했을까 싶네요.
grm2209050076695,아니면 문제에 다른 단서가 있나요?
grm2207110039686,결국에는 무산되었다고 하니까 그저 눈물만 나네요.
grm2208030089706,그리고 둘의 차이는 무엇인가요?
grm2210140111569,지금 지구과학으로 갈아타면 늦은 걸까요?
grm2207010032239,성적으로는 경북대 의대 적정 정두 점수 나왔어요!
grm2210190110692,약사나 연구원 같은 거 하실 거 같다.
grm2207040027544,저도 기타는 제 인생에 없을 줄 알았다.
grm2209300111315,지문에서 극복이 관념적으로 이루어졌다고 했는데 극복 의지와 같은 건가요?
grm2208080092936,막막한데 정말 한번 제대로 해 보고 싶습니다.
grm2207130034880,"감사한 마음만 계속 가지고, 그 마음을 원동력으로 공부하면 돼요!"
grm2210210109685,누가 더 잘하느냐가 관건인 것 같아요.
grm2208030086807,저는 그렇게 풀었는데 틀려서 의문이 들었습니다.
grm2207070017413,지문 읽으면서 정의에 좀 더 집중해야겠네요.
grm2207130013086,"진짜 갑자기 궁금해졌는데, 짜라투스트라가 도대체 뭐라고 말한 건가요?"
grm2208040083567,그래서 저게 무조건 안 된다는 건가요?
grm2208080085664,어떻게 하면 더 빠르고 효율적으로 사회 집단을 분류할 수 있을까요?
grm2208030061076,아니면 시기를 나누는 기준이 따로 있나요?
grm2208180058611,그냥 안정하고 나라 통치는 못하는 건가요?
grm2209140111826,선물로 저한테 준 거랑 똑같아요.
grm2209230116788,헌법소원까지 청구된 사안이라 아마 불리한 면은 조금 있을 듯해요.
grm2209160104619,하지만 난 그런 만학도가 아니지.
grm2206240034254,고려대 미디어도 정말 좋죠!
grm2208300068192,했는데 이것이 각 껍질에 해당하는 에너지만 가질 수 있다는 것을 의미하나요?
grm2208120066622,그리고 중력이 가져간 만큼 준다고 했는데 사과가 나무에서 낭떠러지로 떨어지면 이것도 중력이 가져간 만큼 준 건가요?
grm2209220109722,저도 그래서 책상에다가 붙여 놓고 계속 의식하려고 했던 거 같아요.
grm2206160078775,사진처럼 해도 괜찮을까요.
grm2208040041723,문학은 흡수가 매우 잘 되는 거 같고 적용도 잘 되는 거 같아요.
grm2209220113479,어느 정도 선을 지켜가면서 할 수 있다면 좋겠지만요.
grm2210060115434,"내가 친목 얘기 한 건 이 모든 문제의 뿌리가 친목이어서 그런 거지, 논점을 잘못 잡은 게 아님."
grm2209020059604,"학교에서 배운 거 같은데, 이게 맞나요?"
grm2209260109971,한가하실 때 건대 호수 산책 가세요.
grm2207250029839,어떤 학생이라도 스스로 만들 수 있는 것들이다.
grm2207040015429,"어떡하면 효율 저하, 주말의 무한 루프를 이겨낼 수 있을까요?"
grm2206140088339,협의는 왜 보편성이 많고 광의는 왜 특수성이 다 많은지 모르겠어요.
grm2209130111638,욕심을 줄이고 내가 할 수 있는 만큼 최선을 다해야겠어요.
grm2209140100988,내가 상식적으로 이번 정부 임기 내에 고용률이나 경제 상황이 어려워지면 제일 먼저 이자가 더 오르겠지.
grm2206200033408,정치와 법률 파이널 첫 번째 영상입니다!
grm2207200029202,효율적으로 제가 먼저 얻을 수 있는 점부터 차곡차곡 쌓겠다는 식으로 푸는 게 좋습니다.
grm2209020071462,이 식은 늘어난 길이가 있어야 사용할 수 있는 것 아닌가요?
grm2208240074776,아니면 다른 교재를 사서 푸는 것이 필요한지 궁금합니다.
grm2206130064689,한 것을 빼앗긴 개념이라고 보면 되나요?
grm2210180114192,어떤 식으로 진행되는지 아시나요?
grm2206280013378,특성화고 대부분은 졸업 후 취직을 목표로 하는 편이에요.
grm2208160090839,판단되는데 혹시 논리적 단절이 존재하나요?
grm2207220015196,덕질을 어느 선까지 하는 게 좋을까요?
grm2210210111014,합격자 발표 나오기 몇 시간 전이다.
grm2210050107686,상대 속도를 이용해서 문제를 풀려면 보통 가속도의 크기와 방향이 같을 때 씁니다!
grm2210210119456,"생명 공부 어떻게 하는지 여쭤보고 싶은데, 혹시 어떻게 공부하시나요?"
grm2207140028817,반수 목적으로 응시한 건 맞습니다.
grm2208040078019,같은 닮음의 중심을 가진다?
grm2208100075868,수식으로 한번 알아보려고 했는데 잘 안되네요.
grm2206240028263,문제집을 통해서 접해 본 기억이 난다.
grm2210200108864,그러면 나 재수 하실 때에도 국어를 저렇게 잘하셨나요?
grm2209140107276,물론 개인차가 있겠지만요.
grm2207260018900,전 귀마개 껴도 너무 다 들려서 집중이 안되던데요.
grm2207140025908,다시 한번 더 너무 감사해요.
grm2206170091440,결국 인간적인 관점에서도 동물 행동의 복잡성의 원인이 동물 내적의 복잡성이 아니라고 말하는 것인가요?
grm2209010073567,노란색 힘과 빨간색 힘이 실제로 작용했다고...
grm2209260103998,결과를 알기 전까지는 그럴 수도 있겠지.
grm2207260030416,혼자 하기 어려우시다면 좋은 강사분 커리큘럼 타는 것도 좋다.
grm2208110078555,했는데 풀다 보니 이렇게 생각하면 맞나?
grm2207070025099,그래도 밤은 새지 마세요.
grm2209070065402,에너지 준위의 차이를 넘는 에너지를 받으면 전자가 전이하지 않는다고...
grm2210170116090,"이거 보여주면서 빠져나가면 있던 귀신도, 사람들도 다 도망갈 듯."
grm2207280003384,거기서부터 이제 좀 독특한 생각이 나오네요?
grm2209050059485,"보라색, 분홍색, 초록색, 주황색으로 사건들을 각각 구분하신 기준이 궁금합니다."
grm2206150065856,왜 하필 물결 모양을 치면서 나가나요?
grm2206200024191,"많이 어렵나, 공부한 만큼만 보고 밤에 돌아오겠음..."
grm2208230043636,제 생각 중에 뭐가 잘못됐나요?
grm2208020072952,강의 수강 중 질문 있습니다.
grm2209160113332,고소를 만약 진심으로 생각하고 있다면 어차피 안되니까 안 하는 거 추천한다.
grm2209150104683,중계가 나름 강북의 목동인데 대박이더라.
grm2208030072879,이런 방식으로 풀려면 어떻게 식을 세우는 게 맞나요?
grm2207120038718,판이 시곗바늘 무게를 버틸 수 있을까요?
grm2210040106665,막 정류장 아닌 곳에서 내려달라 한다.
grm2210180111697,당당하게 수능 만점 받고 인터뷰 때 외칩시다!
grm2208240055062,영웅은 죽어서 이름이라도 남기는데 나는 그러지 못한다.
grm2207050031753,그냥 외우는 거 싫어하고 적용하는 거 오히려 좋았어요.
grm2208290070467,그런데 분리 후 에너지가 다른 요인은 무엇인가요?
grm2208310051899,"실용적, 윤리적, 정치적 목적을 달성하려는 욕구가 예술에 대한 관심과 욕구라는 뜻으로 해석되는데요."
grm2208020063402,하면서 풀면 반은 맞추는 정도입니다.
grm2208010055575,그러면 앞으로 인강 업로드 계획이 어떻게 되시나요?
grm2207260014252,서울로 올라가서 대학교 다니면 보통 그 지역에서 취업까지 할 텐데요.
grm2206270030405,의대에 오시기만 한다면 교수가 되기까지 까지는 어렵지 않습니다.
grm2208250045122,붙여 읽어야 하는 문장들의 기준을 잘 모르겠어요.
grm2209190108226,중성자 수 구해서 계산하는 게 최선인 것 같네요.
grm2210170114344,각 항의 최고차가 홀수 차수일 때만 순환식 인수분해를 적용할 수 있는 건가?
grm2208030055534,선생님께서 수능 특강 독서에서 소재에 대한 배경지식 공부도 필요하다고 하셨는데요.
grm2210210109966,중학생 때까지 자세가 안 좋아서요.
grm2206160089205,두 성질이 갑자기 혼동이 됩니다.
grm2208020078201,가정하면 밑에 설명해 주신 부분들이 이해가 가는데 두 극댓값이 어떻게 같게 되는 건지 모르겠어요.
grm2208310043449,계속 강의해 주셔서 궁금증이 생겨 질문하게 되었습니다.
